deckname;value;avglbl;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
The People of Bearing|The Creeping Hell Protectors;0.0000;14.0000;0;0;0;3.0;1.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;2.0;0;0;0;0;1.5;0;0;0;6.0;0;0;0;0;0
The People of Bearing|The Mixing Figment Collectors;0.0000;16.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;9.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The People of Bearing|Venom's Fifth Swarm;0.0000;15.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;2.0;0;0;3.0;0;0;0;1.5;0;0;6.0;0;0;0;0;0;0
The People of Bearing|The Tentacles of the Diseased Bone;0.0000;30.0000;0;0;0;0;3.0;0;0;0;9.0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;12.0;0;0;0;0;0;0;1.5;3.0;0.5;0;3.0;0;0;0;0;0
The People of Bearing|The Omnivore Brutish Herders;0.0000;19.0000;0;0;0;3.0;0;0;1.0;0;2.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;9.0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
The People of Bearing|The Former Hoping Valkyrie Trustees;0.0000;13.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;9.0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0
The People of Bearing|The Simple Lords;0.0000;11.0000;0;0;0;0;0;0;1.0;0;3.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0
The People of Bearing|The Fire Breathers of the Heartseeker;0.0000;17.0000;0;0;3.0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;12.0;0;0;0;0;0
The People of Bearing|Army of Alpha and Curing;0.0000;13.0000;0;0;0;0;0;0;0;0;3.0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;0;0;4.0;0;0;2.0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
The People of Bearing|The Hurting Demons Larvae;0.0000;17.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0
The People of Bearing|The Liches of Rebirth and Duskmaw;0.0000;10.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;0;0;0;2.0;0;0;4.0;0;1.0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
The People of Bearing|The Fortelling Aggravating Ticklers;0.0000;12.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;3.0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The People of Bearing|The Opening Sisters Liches;0.0000;27.0000;0;0;0;3.0;3.0;0;0;0;2.0;0;0;0;7.0;0;0;0.5;0;0;0;0;2.0;0;0;4.0;0;1.0;0;0;0;0;4.5;0;0;0;0;0;0;0;0;0
The People of Bearing|Vindicators of Sobbing and Baking;0.0000;12.0000;0;0;1.0;0;0;0;0;0;1.0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;9.0;0;0;0;0;0
The People of Bearing|Brigade of Druid and Weird;0.0000;9.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
The People of Bearing|The Raiders of Hound and Mask;0.0000;25.0000;0;0;0;0;1.0;0;0;0;2.0;0;0;0;6.0;0;0;0.5;0;0;0;0;2.0;0;0;4.0;0;0;0;0;0;0;3.0;0;0;0;15.0;0;0;0;0;0
The People of Bearing|The Sorcerers of the Oratek Eruptor;0.0000;19.0000;0;0;1.0;0;0;0;1.0;0;1.0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The People of Bearing|The Farmers of the Spiky Tunnels;0.0000;16.0000;0;0;0;3.0;0;0;0;0;3.0;0;0;0;1.0;0;0;0.5;0;0;0;0;0;0;0;4.0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0
The People of Bearing|The Sixth Barb Band;0.0000;8.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;9.0;0;0;0;0;0
The People of Bearing|The Masters of Swearing;0.0000;18.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The People of Bearing|The Phalanx of Everflow Treefolk;0.0000;14.0000;0;0;0;3.0;0;0;2.0;0;3.0;0;0;0;1.0;0;0;0.5;0;0;0;0;0;0;0;6.0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0
The People of Bearing|The Champions of the Whisker;0.0000;17.0000;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;10.0;0;0;3.0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
The People of Bearing|Doctors of Tatoo and Comparing;0.0000;19.0000;0;0;4.0;0;0;0;0;0;1.0;0;0;0;12.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The People of Bearing|The Savants of the Ending Predator;0.0000;16.0000;0;0;0;3.0;2.0;0;0;0;2.0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;4.0;0;1.0;0;0;0;0;0;2.0;0;0;6.0;0;0;0;0;0
The People of Bearing|The Hermit Spiders;0.0000;14.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;0;0;2.0;0;0;3.0;0;0;0;1.5;0;0;3.0;0;0;0;0;0;0
The People of Bearing|The Host of the Confident Miracles;0.0000;6.0000;0;0;0;0;0;0;1.0;0;1.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The People of Bearing|The King Varna Generals;0.0000;17.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0.5;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;4.5;0;0;0;3.0;0;0;0;0;0
The People of Bearing|The Company of Botany;0.0000;14.0000;0;0;0;0;0;0;0;0;3.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;3.0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
The People of Bearing|The Monks of the Great Quitting Fire;0.0000;17.0000;0;0;3.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.0;0;0;0;0;0
The People of Bearing|The Mice of the Fierce Fur;0.0004;11.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;2.0;0;0;3.0;0;0;0;0;0;0
The People of Bearing|The Senseis who became Champs;0.0000;17.0000;0;0;0;0;0;0;0;0;1.0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The People of Bearing|The Crossing Soul Hags;0.0000;15.0000;0;0;0;3.0;1.0;0;0;0;1.0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;9.0;0;0;0;0;0
The People of Bearing|The Group of Brass Conspiracies;0.0000;16.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;2.0;0;0;0.5;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;15.0;0;0;0;0;0
The People of Bearing|The Fleeing Feasting Brother Flock;0.0000;11.0000;0;0;0;0;0;0;1.0;0;1.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;6.0;2.0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0
The People of Bearing|The Squadron of the Fire;0.0000;12.0000;0;0;3.0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.0;0;0;0;0;0
The People of Bearing|The Imps of Descending Chiron;0.0000;13.0000;0;0;0;3.0;1.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;3.0;0;0;0;6.0;0;0;0;0;0
The People of Bearing|Outfit of Camping and Waving;0.0000;13.0000;0;0;0;3.0;0;0;1.0;0;2.0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;4.0;0;0;3.0;0;0;0;0;0;0;3.0;0;0;0;0;0;0
The Creeping Hell Protectors|The People of Bearing;0.0000;14.0000;0;0;0;3.0;1.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;2.0;0;0;0;0;1.5;0;0;0;6.0;0;0;0;0;0
The Creeping Hell Protectors|The Mixing Figment Collectors;0.0000;9.0000;0;1.0;0;0;0;0;0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0.5;0;0;0;0;0;0;0;0;0
The Creeping Hell Protectors|Venom's Fifth Swarm;0.0000;8.0000;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;1.0;1.0;0;0;2.0;0;0;0;0;0;0
The Creeping Hell Protectors|The Sentrys of Failure Faith;0.0000;8.0000;0;0;0;0;4.0;0;2.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;2.0;0;0;0;0;0
The Creeping Hell Protectors|The Omnivore Brutish Herders;0.0000;8.0000;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;1.0;2.0;0;0;0;0;0;0;0;0;0
The Creeping Hell Protectors|The Former Hoping Valkyrie Trustees;0.0000;6.0000;0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0
The Creeping Hell Protectors|The Simple Lords;0.0000;6.0000;0;0;0;0;0;0;1.0;2.0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0
The Creeping Hell Protectors|The Fire Breathers of the Heartseeker;0.0000;6.0000;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;0;0
The Creeping Hell Protectors|Army of Alpha and Curing;0.0000;9.0000;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;0;0;1.0;1.5;0;0;0;2.0;0;0;0;0;0
The Creeping Hell Protectors|The Mothers of the Plutonium Echo;0.0000;8.0000;0;0;0;3.0;0;0;3.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0.5;0;0;0;2.0;0;0;0;0;0
The Creeping Hell Protectors|The Aunts of Bleeding Brightsteel;0.0000;12.0000;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;2.0;0;0;0;6.0;0;0;0;0;0
The Creeping Hell Protectors|The Fortelling Aggravating Ticklers;0.0000;5.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0
