deckname;value;avglbl;range1;range2;range3;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;FORGEBORN;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
Day's Locksmiths|The Heralds of Silk Collection;0.0281;72.0000;WARRIOR;SPELL;;0;0;0;0;0;0;2.0;0;0;0;0;0;16.0;0;0;0;1.0;0;0;0;1.0;0;8.0;0;0;1.0;8.0;0;1.0;0;0;5.0;1.0;0;0;0;0;0;0;0;0
Day's Locksmiths|Wrongdoing's Suspending Workers;0.0098;49.0000;WARRIOR;BEAST;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;0;2.0;10.0;9.0;1.0;0;0;0;0;0;0;0;0
Day's Locksmiths|The Causing Titanic Venom Wildlings;0.0036;33.0000;WARRIOR;;;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;2.0;12.0;0;0;0;0;5.0;0;1.0;0;0;0;0;0;0;0
Day's Locksmiths|Impulse's Shadowflame Squad;0.0646;63.0000;WARRIOR;MAGE;;0;0;0;0;0;0;4.0;0;0;0;0;0;8.666666666666666;0;0;0;1.0;0;0;0;1.0;0;0;6.666666666666666;0;1.0;9.666666666666666;0;1.0;0;0;4.0;1.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|The Wiry Antique Governors;0.0196;81.0000;WARRIOR;ZOMBIE;ZOMBIE;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;3.0;0;0;0;5.0;0;0;0;0;2.0;4.0;0;0;4.0;20.0;6.0;3.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|The Scavenger Rabid Daggers;0.0091;31.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;0;0;0;6.0;1.0;0;0;3.0;0;0;0;0;0
Day's Locksmiths|The Creeping Hell Protectors;0.0172;56.0000;WARRIOR;ZOMBIE;;0;0;0;0;0;0;1.0;1.0;0;0;0;0;0;0;0;0;2.0;0;0;1.0;9.0;0;0;0;0;3.0;4.0;0;0;1.0;5.0;5.0;2.0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|The Mixing Figment Collectors;0.0135;51.0000;WARRIOR;;;0;0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;2.0;0;0;0;1.0;0;0;0;0;1.0;4.0;0;2.0;0;0;7.0;2.0;0;8.0;0;0;0;0;0;0
Day's Locksmiths|Venom's Fifth Swarm;0.0055;46.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;1.0;0;0;0;0;1.0;12.0;0;0;1.0;5.0;7.0;1.0;2.0;0;0;0;0;0;0;0
Day's Locksmiths|The Tentacles of the Diseased Bone;0.0470;80.0000;WARRIOR;MINION;;0;0;0;0;2.0;0;0;0;10.0;0;0;0;4.0;0;0;0;0;0;0;0;4.0;0;0;0;0;1.0;4.0;0;0;1.0;5.0;8.0;0;0;4.0;0;0;0;0;0;0
Day's Locksmiths|The Omnivore Brutish Herders;0.0100;54.0000;WARRIOR;WARRIOR;;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;20.0;0;0;1.0;5.0;7.0;0;0;0;0;0;0;0;0;0
