deckname;value;avglbl;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
The People of Bearing|The Masters of Swearing;0.0000;18.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The Creeping Hell Protectors|The Masters of Swearing;0.0000;8.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.0;0;0;0;0;0;0;0;0;0
Venom's Fifth Swarm|The Masters of Swearing;0.0000;9.0000;0;3.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
The Tentacles of the Diseased Bone|The Masters of Swearing;0.0000;18.0000;0;0;0;0;0;0;0;0;4.0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;1.0;2.0;0;0;0;0;0;0;0;0
The Sentrys of Failure Faith|The Masters of Swearing;0.0000;11.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;2.0;0;0;0;0;0
The Omnivore Brutish Herders|The Masters of Swearing;0.0000;11.0000;0;1.0;1.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.0;0;0;0;0;0;0;0;0;0
The Simple Lords|The Masters of Swearing;0.0000;15.0000;0;4.0;0;0;0;0;0;0;2.0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
Army of Alpha and Curing|The Masters of Swearing;0.0000;14.0000;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;0
The Mothers of the Plutonium Echo|The Masters of Swearing;0.0000;6.0000;0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Hurting Demons Larvae|The Masters of Swearing;0.0000;21.0000;0;0;2.0;0;0;0;0;0;0;0;0;0;9.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0.5;0;3.0;0;0;0;0;0;0;0;0;0
The Aunts of Bleeding Brightsteel|The Masters of Swearing;0.0000;18.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0.5;0;1.0;0;0;0;6.0;0;0;0;0;0
The Liches of Rebirth and Duskmaw|The Masters of Swearing;0.0000;13.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;1.0;0;0;0;0;0;0;0;0;0
The Opening Sisters Liches|The Masters of Swearing;0.0000;17.0000;0;0;0;0;0;0;0;0;0;0;0;0;12.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;2.0;0;0;0;0;0;0;0;0;0
Brigade of Druid and Weird|The Masters of Swearing;0.0000;8.0000;0;2.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
Sparky's Attentive Combatants|The Masters of Swearing;0.0000;12.0000;0;0;3.0;0;0;0;0;0;0;0;0;0;5.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Raiders of Hound and Mask|The Masters of Swearing;0.0000;18.0000;0;0;0;0;0;0;0;0;0;0;0;0;11.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;3.0;0;0;0;0;0;0;0;0;0
The Serious Silver Soldiers|The Masters of Swearing;0.0000;8.0000;0;0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Farmers of the Spiky Tunnels|The Masters of Swearing;0.0000;14.0000;1.0;3.0;3.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Sixth Barb Band|The Masters of Swearing;0.0000;15.0000;1.0;0;0;0;0;0;0;0;0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The People of Bearing;0.0000;21.0000;0;0;1.0;0;0;0;0;0;2.0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;3.0;0;0;0;0;0;0;0;6.0;0;0;0;0;0
The Masters of Swearing|The Creeping Hell Protectors;0.0000;8.0000;0;1.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|Venom's Fifth Swarm;0.0000;9.0000;0;3.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Tentacles of the Diseased Bone;0.0000;18.0000;0;0;0;0;0;0;0;0;4.0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;1.0;2.0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Sentrys of Failure Faith;0.0000;11.0000;0;0;0;0;0;0;0;0;2.0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The Omnivore Brutish Herders;0.0000;11.0000;0;1.0;1.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Simple Lords;0.0000;15.0000;0;4.0;0;0;0;0;0;0;2.0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|Army of Alpha and Curing;0.0000;14.0000;1.0;1.0;1.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The Mothers of the Plutonium Echo;0.0000;6.0000;0;0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The Hurting Demons Larvae;0.0000;21.0000;0;0;2.0;0;0;0;0;0;0;0;0;0;9.0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0.5;0;3.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Aunts of Bleeding Brightsteel;0.0000;18.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0.5;0;1.0;0;0;0;6.0;0;0;0;0;0
The Masters of Swearing|The Liches of Rebirth and Duskmaw;0.0000;13.0000;0;0;1.0;0;0;0;0;0;0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.5;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Opening Sisters Liches;0.0000;18.0000;0;0;0;0;0;0;0;0;0;0;0;0;12.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;2.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|Brigade of Druid and Weird;0.0000;8.0000;0;2.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|Sparky's Attentive Combatants;0.0000;12.0000;0;0;3.0;0;0;0;0;0;0;0;0;0;5.0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The Raiders of Hound and Mask;0.0000;18.0000;0;0;0;0;0;0;0;0;0;0;0;0;11.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;3.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Serious Silver Soldiers;0.0000;8.0000;0;0;0;0;0;0;0;0;0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Farmers of the Spiky Tunnels;0.0000;14.0000;1.0;3.0;3.0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0
The Masters of Swearing|The Sixth Barb Band;0.0000;15.0000;1.0;0;0;0;0;0;0;0;0;0;0;0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;1.0;0;0;0;0;0;0;0;0;0
The Masters of Swearing|The Quantums of Metal and Faith;0.0000;21.0000;0;0;2.0;0;0;0;0;0;0;0;0;0;12.0;0;0;0;0;0;0;0;0;0;0;4.0;0;0;0;0;0.5;0;0;0;0;0;4.0;0;0;0;0;0
The Masters of Swearing|The Phalanx of Everflow Treefolk;0.0000;10.0000;0;3.0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0
