id;Name;faction;rarity;cardType;cardSubType;spliced;solbind;1attack;1health;1text;2attack;2health;2text;3attack;3health;3text;Beast;Beast Synergy;Darkforge;Darkforge Synergy;Dinosaur;Dinosaur Synergy;Dragon;Dragon Synergy;Elemental;Elemental Synergy;Mage;Mage Synergy;Metamind;Metamind Synergy;Plant;Plant Synergy;Robot;Robot Synergy;BanishRobot;Scientist;Scientist Synergy;Spirit;Spirit Synergy;BanishSpirit;BanishSpirit Synergy;Warrior;Warrior Synergy;Yeti;Yeti Synergy;Zombie;Zombie Synergy;Minion;Minion Synergy;Spell Synergy;Spell;Replace Setup;Replace Profit;Healing Source;Healing Synergy;High Life Synergy;Movement;Disruption;Movement Benefit;Armor;Armor Giver;Armor Synergy;Player Armor;Activate;Ready;Free;Reanimate;Upgrade;Upgrade Synergy;Face Burn;FB Creature;FB Creature Synergy;FB Giver;FB Giver Synergy;FB Synergy;Removal;Breakthrough;Breakthrough Giver;Aggressive;Aggressive Giver;Defender;Defender Synergy;Defender Giver;Stealth;Stealth Giver;Stat Buff;Attack Buff;Health Buff;Increased A;Increased A Synergy;Stat Debuff;Attack Debuff;Attack Debuff Synergy;Health Debuff;Good Destroyed;Destruction Synergy;Destruction Others;Destruction Self;Self Damage Payoff;Self Damage Activator;Silence;Exalts;Exalt Synergy;Exalt Counter;Slay;Slay Synergy;Deploy;Deploy Synergy;Adjacency;Hand Disruption;Augment;Augment Synergy;Self Burn;Self Burn Synergy;Low Life Synergy;Spicy;Cool;Fun;Annoying
assassin;Assassin;Alloyin;CCCX;Creature;Warrior;TRUE;;4;2;<b>Stealth</b>;6;4;<b>Stealth</b>;7;5;<b>Stealth</b>;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bartok;Bartok;Uterra;CCCX;Creature;Warrior;TRUE;;2;2;<b>Deploy:</b> Give the next creature you play this turn +2A,+2H.;2;2;<b>Deploy:</b> Give the next creature you play this turn +4A,+4H.;2;2;<b>Deploy:</b> Give the next creature you play this turn +8A,+8H.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
bear;Bear;Uterra;CCCX;Creature;Beast;TRUE;;3;2;;6;3;;14;14;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
colossus;Colossus;Tempys;CCCX;Creature;Warrior;TRUE;;5;3;;7;5;;10;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
decayasaur;Decayasaur;Uterra;CCCX;Creature;Zombie Dinosaur;TRUE;;5;3;;7;5;;11;5;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
demon;Demon;Nekrium;CCCX;Creature;Beast;TRUE;;5;5;;5;6;;6;6;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
drake;Drake;Nekrium;CCCX;Creature;Dinosaur;TRUE;;2;3;<b>Mobility</b> 1;4;5;<b>Mobility</b> 2;5;7;<b>Mobility</b> 3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geist;Geist;Nekrium;CCCX;Creature;Spirit;TRUE;;6;2;;4;8;;7;9;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lightning-tamer;Lightning Tamer;Tempys;CCCX;Creature;Mage;FALSE;;1;4;"<b>Deploy:</b> You may play a Spell Sprite <b>Minion</b>.

When you play a spell, give this +2A.";1;4;"<b>Deploy:</b> You may play a Spell Swarm <b>Minion</b>.

When you play a spell, give this +3A.";3;9;"<b>Deploy:</b> You may play a Spell Swarm <b>Minion</b>.

When you play a spell, give this +4A.";0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
moeba;Moeba;Nekrium;CCCX;Creature;Ooze;TRUE;;2;3;;7;9;;7;10;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
