deckname;value;avglbl;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
The People of Bearing|The Tentacles of the Diseased Bone;0.0720;75.0000;0;0;0;15.0;6.0;0;0;0;18.0;0;0;0;1.0;0;0;0.5;0;0;0;0;4.0;0;0;12.0;0;2.0;8.0;0;0;1.0;4.5;11.0;1.0;0;3.0;0;0;0;0;0
The Mixing Figment Collectors|The Tentacles of the Diseased Bone;0.0275;61.0000;0;1.0;0;0;1.0;0;0;0;8.0;0;0;0;18.0;0;0;0;0;2.0;0;0;0;4.0;12.0;0;0;0;0;0;4.0;1.0;4.0;5.0;1.0;0;0;0;0;0;0;0
Venom's Fifth Swarm|The Tentacles of the Diseased Bone;0.0249;44.0000;0;0;0;0;1.0;0;0;0;17.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0;8.0;6.0;0.5;2.0;0;0;0;0;0;0
The Tentacles of the Diseased Bone|The People of Bearing;0.0672;68.0000;0;0;0;15.0;6.0;0;0;0;18.0;0;0;0;1.0;0;0;0.5;0;0;0;0;6.0;0;0;12.0;0;3.0;6.0;0;0;1.0;4.5;5.0;0.5;0;3.0;0;0;0;0;0
The Tentacles of the Diseased Bone|The Mixing Figment Collectors;0.0239;48.0000;0;1.0;0;0;1.0;0;0;0;7.0;0;0;0;12.0;0;0;0;0;2.0;0;0;2.0;4.0;0;0;0;0;0;0;4.0;1.0;3.5;5.0;1.0;0;0;0;0;0;0;0
The Tentacles of the Diseased Bone|Venom's Fifth Swarm;0.0183;34.0000;0;0;0;0;1.0;0;0;0;8.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;2.0;7.0;6.0;0.5;2.0;0;0;0;0;0;0
The Tentacles of the Diseased Bone|The Sentrys of Failure Faith;0.0672;45.0000;0;0;0;0;11.0;0;4.0;0;14.0;0;0;0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;1.0;0;0;1.0;3.5;6.0;0;0;1.0;0;0;0;0;0
The Tentacles of the Diseased Bone|The Omnivore Brutish Herders;0.0243;38.0000;0;0;0;0;1.0;0;2.0;0;10.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;2.0;9.0;4.0;0;0;0;0;0;0;0;0
The Tentacles of the Diseased Bone|The Former Hoping Valkyrie Trustees;0.0218;38.0000;0;0;0;0;1.0;0;0;0;7.0;0;0;0;12.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;2.0;1.0;3.5;4.0;1.0;0;0;0;0;0;0;0
The Tentacles of the Diseased Bone|The Simple Lords;0.0054;25.0000;0;0;0;0;1.0;0;1.0;0;9.0;0;0;0;0;0;0;0;0;2.0;0;0;2.0;0;0;0;0;0;0;0;0;1.0;4.5;2.0;0;0;0;0;0;0;0;0
