deckname;value;avglbl;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
The People of Bearing|The Masters of Swearing;0.1084;58.0000;0;1.0;0;15.0;2.0;0;0;0;5.0;0;0;0;14.0;0;0;0.5;0;0;0;0;0;0;0;4.0;0;2.0;11.0;0;1.0;0;0;6.0;1.0;0;6.0;0;0;0;0;0
The Creeping Hell Protectors|The Masters of Swearing;0.0257;28.0000;0;2.0;0;0;0;0;0;4.0;0;0;0;0;10.0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;1.5;2.0;4.0;0;0;0;0;0;0;0;0;0
Venom's Fifth Swarm|The Masters of Swearing;0.0104;20.0000;0;3.0;0;0;0;0;0;0;4.0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;2.0;0;0;2.0;0;0;0;0;0;0
The Tentacles of the Diseased Bone|The Masters of Swearing;0.0327;43.0000;0;1.0;0;0;1.0;0;0;0;8.0;0;0;0;12.0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;3.0;1.0;4.0;5.0;0.5;0;0;0;0;0;0;0
The Sentrys of Failure Faith|The Masters of Swearing;0.0402;30.0000;0;1.0;0;0;4.0;0;6.0;0;4.0;0;0;0;12.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.5;0;0;0;0;0;2.0;0;0;0;0;0
The Omnivore Brutish Herders|The Masters of Swearing;0.0015;28.0000;0;1.0;0;0;0;0;2.0;0;0;0;0;0;30.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;2.5;0;0;0;0;0;0;0;0;0
The Simple Lords|The Masters of Swearing;0.0000;30.0000;0;4.0;0;0;0;0;1.0;0;10.0;0;0;0;12.0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;1.5;0;0;0;0;0;0;0;0;0;0;0
Army of Alpha and Curing|The Masters of Swearing;0.0306;32.0000;3.0;2.0;0;0;0;0;0;0;10.0;0;0;0;8.0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;1.0;0;0.5;0;2.5;0;0;0;2.0;0;0;0;0;0
The Mothers of the Plutonium Echo|The Masters of Swearing;0.0006;23.0000;0;1.0;0;9.0;0;0;2.0;0;0;0;0;0;10.0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0;0;0;0;2.0;0;0;0;0;0
The Hurting Demons Larvae|The Masters of Swearing;0.0375;50.0000;0;1.0;0;0;0;2.0;0;0;0;0;0;0;17.0;0;0;0;0;0;4.0;0;0;0;12.0;0;0;0;0;0;1.5;4.0;7.5;0;0;0;0;0;0;0;0;0
