Name,faction,rarity,cardType,cardSubType,spliced,solbind,1attack,1health,1text,2attack,2health,2text,3attack,3health,3text,Beast,Beast Synergy,Dinosaur,Dinosaur Synergy,Mage,Mage Synergy,Robot,Robot Synergy,Scientist,Scientist Synergy,Spirit,Spirit Synergy,Warrior,Warrior Synergy,Zombie,Zombie Synergy,Replace Setup,Replace Profit,Minion,Minion Synergy,Spell,Spell Synergy,Healing Source,Healing Synergy,Movement,Disruption,Movement Benefit,Armor,Armor Giver,Armor Synergy,Activate,Ready,Free,Upgrade,Upgrade Synergy,Face Burn,Removal,Breakthrough,Breakthrough Giver,Aggressive,Aggressive Giver,Defender,Defender Giver,Stealth,Stealth Giver,Stat Buff,Attack Buff,Health Buff,Stat Debuff,Attack Debuff,Health Debuff,Destruction Synergy,SelfDestruction Activator,Self Damage Payoff,Self Damage Activator,Silence,White Fang,Dragon,Dragon Synergy,Elemental,Elemental Synergy,Plant,Plant Synergy,Exalts,Exalt Synergy,Slay,Reanimate,Deploy,Reanimate Activator,
Adaptive,Alloyin,Rare,Modifier,Noncreature,TRUE,,1,1,"<b>Deploy:</b> If you have the Forge, give this +2A. If you don't, give it +2H.",0,1,"<b>Deploy:</b> If you have the Forge, give this +5A. If you don't, give it +5H.",0,1,"<b>Deploy:</b> If you have the Forge, give this +10A. If you don't, give it +10H.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aegis Knight,Alloyin,Rare,Creature,Robot,FALSE,,5,4,"<b>Stealth</b>

<b>Deploy:</b> Give this +2A for each creature with D in play.",8,7,"<b>Stealth</b>

<b>Deploy:</b> Give this +3A for each creature with D in play.",10,8,"<b>Stealth</b>

<b>Deploy:</b> Give this +4A for each creature with D in play.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aegis Wings,Alloyin,Common,Spell,Noncreature,FALSE,,,,"Give a creature +2A. This turn, it gets <b>Mobility</b> 1.",,,"Give a creature +4A. This turn, it gets <b>Mobility</b> 2.

This is <b>Free</b>.",,,"Give a creature +8A. This turn, it gets <b>Mobility</b> 3.

This is <b>Free</b>.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Upgrade,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aetherforge Oracle,Alloyin,Common,Creature,Mage,FALSE,,3,5,"<b>Deploy:</b> <b>Upgrade</b> a card in your hand, then discard it.",6,10,"<b>Deploy:</b> <b>Upgrade</b> a card in your hand, then discard it.",9,13,"<b>Deploy:</b> <b>Upgrade</b> a card in your hand.

When you <b>Upgrade</b> a card, you may <b>Upgrade</b> it up to two times instead.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Aetherscale Dragon,Alloyin,LS,Creature,Robot Dragon,FALSE,,5,5,<b>Activate:</b> For each of the following creature types adjacent to this: <br> â€¢ Spirit: Give this <b>Stealth</b> this turn. <br> â€¢ Mage: Give this +2A. <br> â€¢ Dragon: Deal 2 damage to a creature or player.,8,8,<b>Activate:</b> For each of the following creature types adjacent to this: <br> â€¢ Spirit: Give this <b>Stealth</b> this turn. <br> â€¢ Mage: Give this +3A. <br> â€¢ Dragon: Deal 3 damage to a creature or player.,13,13,<b>Activate:</b> For each of the following creature types adjacent to this: <br> â€¢ Spirit: Give this <b>Stealth</b> this turn. <br> â€¢ Mage: Give this +4A. <br> â€¢ Dragon: Deal 5 damage to a creature or player.,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,
Allomancer,Alloyin,Common Rare,Creature,Mage,TRUE,,2,3,<b>Activate:</b> Deal 1 damage to a creature for each Mage you have in play.,3,4,<b>Activate:</b> Deal 2 damage to a creature for each Mage you have in play.,4,5,<b>Activate:</b> Deal 3 damage to a creature for each Mage you have in play.,0,0,0,0,1,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Apocymancer,Alloyin,Rare,Creature,Warrior,FALSE,,3,5,"<b>Stealth</b>

When you replace a creature in another lane, deal 3 damage to a creature or player.",5,7,"<b>Stealth</b>

When you replace a creature in another lane, deal 5 damage to a creature or player.",7,10,"<b>Stealth</b>

When you replace a creature in another lane, deal 7 damage to a creature or player.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Assassin,Alloyin,Common Common,Creature,Warrior,TRUE,,4,2,<b>Stealth</b>,6,4,<b>Stealth</b>,7,5,<b>Stealth</b>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolstering,Alloyin,Rare,Modifier,Noncreature,TRUE,,0,1,<b>Deploy:</b> Give another one of your creatures 2D this turn.,1,2,<b>Deploy:</b> Give another one of your creatures 4D this turn.,2,3,<b>Deploy:</b> Give another one of your creatures 6D this turn.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Brightsteel Gargoyle,Alloyin,Rare,Creature,Robot,FALSE,,4,4,"<b>Activate:</b> If you have the Forge, give this 4D this turn. Otherwise, give this +1A and you may move it up to one lane.",6,6,"<b>Activate:</b> If you have the Forge, give this 6D this turn. Otherwise, give this +2A and you may move it up to one lane.",10,10,"<b>Activate:</b> If you have the Forge, give this 10D this turn. Otherwise, give this +3A and you may move it up to one lane.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Brightsteel Sentinel,Alloyin,Common,Creature,Robot,FALSE,,5,4,<b>Deploy:</b> Give your Robots 3D this turn.,9,5,<b>Deploy:</b> Give your Robots 5D this turn.,13,8,<b>Deploy:</b> Give your Robots 8D this turn.,0,0,0,0,0,0,1,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
"Brix, Machine Speaker",Alloyin,Solbind,Creature,Metamind Scientist,FALSE,"brixs-foundry,brixs-workshop",5,5,<b>Deploy:</b> Play Brix's Workshop.,7,7,"<b>Deploy:</b> Give another one of your creatures 4D this turn. If it is a Robot, it gets +2A.",10,10,"<b>Deploy:</b> Give another one of your creatures 8D this turn. If it is a Robot, it gets +4A.",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
Brix's Foundry,Alloyin,Solbind,Spell,Exalt,FALSE,,,,,0,0,"Your creatures in this lane are also Robots. <br> <br> When you play a creature in this lane, give it +3A,+3H.",,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
Brix's Workshop,Alloyin,Solbind,Spell,Exalt,FALSE,,0,0,"Your creatures in this lane are also Robots. <br> <br> When you play a Robot, put a counter on this. Then, if there are 5 or more counters on this, <b>Transform</b> it.",,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,
