deckname1;deckname2;forgeborn;L2;L3;L4;factions;numlbl;#>~1stats;#>~2stats;#>~3stats;Creatures;Spells;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;EXALT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;SELFDAMAGE;DESTRUCTION;DEPLOY;READY;FORGEBORN;BATTLE;SLAY;FACE DMG
The Mending Rexes Guardian;The Vigilantes of Revelation;Steel Rosetta;2Tinker;3Shapeshift;4Repurpose;Alloyin|Uterra;31;3/3;3/1;5/4;14;6;0;3;4;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;2;0;-1;5;3;0;0;-1;0
The Mending Rexes Guardian;The Boars of Glowhive Spitters;Steel Rosetta;2Tinker;3Barkskin;4Repurpose;Alloyin|Uterra;40;1/5;1/3;5/6;13;7;0;0;4;0;0;0;0;0;0;0;0;0;0;7;2;0;0;0;0;2;0;0;0;7;0;0;3;6;0;-2;6;2;0;0;0;0
The Bending Gloomfiends Snakes;The Mending Rexes Guardian;Nix Nekyia;2Dark Summoning;3Soulrip;4Dark Ritual;Nekrium|Alloyin;43;1/2;1/1;1/4;13;7;0;0;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;-1;0;6;8;0;0;0;0;4;0;-2;12;0;0;0;-1;0;0
The Vigilantes of Revelation;The Mending Rexes Guardian;Oros;2Spirit Bond;3Shapeshift;4Darkforge Drain;Uterra|Alloyin;27;3/3;3/1;5/4;14;6;0;3;4;0;0;0;3;0;2;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;6;0;0;-1;0;0;0;0;-1;0
The Tutors of Temporary Poisons;The Mending Rexes Guardian;Nix Nekyia;2Raising Dead;3Dark Summoning;4Army of the Damned;Nekrium|Alloyin;47;1/2;1/1;1/3;14;6;0;0;3;0;0;0;0;5;8;0;0;0;0;0;1;0;0;0;0;1;0;10;0;0;0;0;5;0;-1;3;3;6;0;-1;0;0
The Mending Rexes Guardian;The Tutors of Temporary Poisons;Steel Rosetta;2Tinker;3Dark Summoning;4Repurpose;Alloyin|Nekrium;51;1/2;1/1;1/3;14;6;0;0;3;0;0;0;0;3;3;0;0;0;0;0;1;0;0;0;0;1;0;10;0;0;0;0;5;2;-1;3;6;12;0;-1;0;0
The Mending Rexes Guardian;The Sailors of Third Fable;Steel Rosetta;2Tinker;3Ice Armor;4Repurpose;Alloyin|Tempys;55;3/2;4/1;3/2;12;8;0;0;5;0;0;0;0;0;2;0;0;0;0;24;0;0;0;0;0;-1;0;0;0;8;0;0;3;2;0;-1;5;4;0;0;0;0
The Mending Rexes Guardian;The Bending Gloomfiends Snakes;Steel Rosetta;2Tinker;3Soulrip;4Repurpose;Alloyin|Nekrium;45;1/2;1/1;1/4;13;7;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;0;4;2;-2;9;4;2;0;-1;0;0
The Boars of Glowhive Spitters;The Mending Rexes Guardian;Oros;2Shapeshift;3Barkskin;4Darkforge Drain;Uterra|Alloyin;35;1/5;1/3;5/6;13;7;0;0;4;0;0;0;0;0;0;0;0;0;0;14;2;0;0;0;0;2;0;0;0;7;0;0;3;2;0;-2;0;0;0;0;0;0
The Sailors of Third Fable;The Mending Rexes Guardian;Sunder;2Gathering Storm;3Ice Armor;4Summon the Swarm;Tempys|Alloyin;53;3/2;4/1;3/2;12;8;0;0;5;0;0;0;0;0;3;0;0;0;0;32;0;0;0;0;0;-1;0;0;0;8;0;0;3;0;0;-1;0;0;0;0;0;0
The Mending Rexes Guardian;Storm's Cackling Guides;Steel Rosetta;2Tinker;3Stim Bolt;4Repurpose;Alloyin|Tempys;79;2/3;2/1;3/4;11;9;0;2;4;0;0;0;0;0;0;0;0;0;0;36;0;3;2;0;0;0;0;0;0;18;0;0;3;2;-1;-2;3;4;0;0;0;0
Storm's Cackling Guides;The Mending Rexes Guardian;Sunder;2Summon the Swarm;3Stim Bolt;4Frost Blast;Tempys|Alloyin;70;2/3;2/1;3/4;11;9;0;2;4;0;0;0;0;0;0;0;0;0;0;36;0;3;2;0;0;0;0;0;0;18;0;0;3;0;-1;-2;0;0;0;0;0;0
The Mending Rexes Guardian;Deformity's Betrayers;Steel Rosetta;2Tinker;3Shadowcast;4Repurpose;Alloyin|Nekrium;34;2/3;2/2;1/3;13;7;0;0;5;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;4;2;-2;4;6;4;0;0;-2;0
Deformity's Betrayers;The Mending Rexes Guardian;Cercee;2Soul Syphon;3Shadowcast;4Army Commander;Nekrium|Alloyin;32;2/3;2/2;1/3;13;7;0;0;5;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;-1;0;0;5;0;0;0;0;5;0;-2;6;3;2;0;0;-2;0
The Stone Hillbilly Stomachs;The Mending Rexes Guardian;Oros;2Shapeshift;3Spell Surge;4Spirit Bond;Uterra|Alloyin;24;4/4;3/4;4/3;14;6;0;4;3;0;0;0;5;0;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;3;0;-1;-1;0;0;0;0;0;0
The Mending Rexes Guardian;The Abundant Champs;Steel Rosetta;2Tinker;3Nova's Judgement;4Repurpose;Alloyin|Uterra;25;1/1;1/0;2/4;13;7;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;3;0;-2;7;2;0;0;1;0
Xrath's Governors;The Mending Rexes Guardian;Cercee;2Shadowcast;3Army Commander;4Sorrow;Nekrium|Alloyin;25;2/1;1/2;0/2;14;6;0;0;3;0;0;0;0;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;4;0;-1;2;4;3;0;0;0;0
